SYMBOL,TICKER,NAME_OF_COMPANY,SERIES,CLOSE_PRICE,PREV_CLOSE,CHANGE_PCT,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_PER,DATE_OF_LISTING,SESSION_DATE
ABINFRA,ABINFRA.NS,A B Infrabuild Limited,BE,11.57,11.02,4.990925589836667,395493,45.34,0.0,08-NOV-2024,20-Sep-2026
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ,81.17,82.41,-1.5046717631355355,1106286,901.07,57.05,23-JUN-2025,20-Sep-2026
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,BE,49.98,51.0,-2.000000000000006,28,0.01,0.0,09-SEP-2021,20-Sep-2026
ABMKNO,ABMKNO.NS,ABM Knowledgeware Limited,EQ,170.5,174.37,-2.219418477949191,1382,2.37,83.0,20-APR-2026,20-Sep-2026
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,EQ,1266.2,1257.4,0.6998568474630154,171318,2167.67,49.46,27-JUN-2003,20-Sep-2026
ABSL10BANK,ABSL10BANK.NS,ABSL10BANK,EQ,166.04,164.39,1.003710687998057,281,0.47,93.24,,20-Sep-2026
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,1060.4,1090.1,-2.7245206861755635,378189,4098.41,62.54,11-OCT-2021,20-Sep-2026
ABSLBANETF,ABSLBANETF.NS,ABSLBANETF,EQ,57.72,57.61,0.19093907307758973,10671,6.16,39.45,,20-Sep-2026
ABSLLIQUID,ABSLLIQUID.NS,ABSLLIQUID,EQ,1000.0,1000.0,0.0,8812,88.12,97.07,,20-Sep-2026
ABSLMSCIN,ABSLMSCIN.NS,ABSLMSCIN,EQ,28.69,28.72,-0.10445682451252641,608,0.17,84.38,,20-Sep-2026
ABSLNN50ET,ABSLNN50ET.NS,ABSLNN50ET,EQ,75.87,74.81,1.4169228712738968,7289,5.5,73.27,,20-Sep-2026
